,E,S,eta,GESpert_Min,GESpert_FE,GESstandard_Min,GESstandard_FE,LS_Min,LS_FE,nBands
261,0.261,Nanoribbon,1e-14,0.059337573,9.67358138046561e-14,0.066917641,9.642921780195191e-14,0.134960638,325.8189890148638,20.0
262,0.262,Nanoribbon,1e-14,0.059136758,9.836853244150841e-14,0.067780316,9.858396948925568e-14,0.12689549,4.0885567474665455e-09,22.0
263,0.263,Nanoribbon,1e-14,0.059171077,9.733322096675492e-14,0.067483882,9.749010368730467e-14,0.12545656300000002,3.169038024295516e-11,22.0
264,0.264,Nanoribbon,1e-14,0.059067582,9.659527492529007e-14,0.067695657,9.661792112639956e-14,0.132256032,24.30514255563013,22.0
265,0.265,Nanoribbon,1e-14,0.058992077000000004,9.820135974577e-14,0.067633733,9.847763817211412e-14,0.125629678,3.1092843955030836e-11,22.0
266,0.266,Nanoribbon,1e-14,0.058917053,9.690134872409482e-14,0.067415146,9.679592408113864e-14,0.125855954,1.5264815794733162e-10,22.0
267,0.267,Nanoribbon,1e-14,0.059556103,9.620431985707303e-14,0.068091608,9.643408426355956e-14,0.140195423,9.688124506602481,22.0
268,0.268,Nanoribbon,1e-14,0.059166965,9.664518030345493e-14,0.06787947,9.632010093689153e-14,0.134965728,9.652632583492528,22.0
269,0.26899999999999996,Nanoribbon,1e-14,0.059053010999999996,9.753895020610472e-14,0.067675205,9.776595920407848e-14,0.137215661,48.39886732566828,22.0
270,0.27,Nanoribbon,1e-14,0.058961252,9.70543626424259e-14,0.067554255,9.685184691370378e-14,0.12556093699999998,2.973073567394e-11,22.0
271,0.271,Nanoribbon,1e-14,0.058762997000000004,9.70875312189874e-14,0.067593677,9.633270114422763e-14,0.138642458,9.5512074864189,22.0
272,0.272,Nanoribbon,1e-14,0.058930807,9.702673469629296e-14,0.067531682,9.700454067300744e-14,0.125496067,9.573313132882504e-12,22.0
273,0.273,Nanoribbon,1e-14,0.058919575,9.517107973298314e-14,0.06760134,9.540235111704472e-14,0.124247922,28308147.8831678,22.0
274,0.27399999999999997,Nanoribbon,1e-14,0.05937524,9.623001331860288e-14,0.068025243,9.594608882908406e-14,0.132883616,9.451158625632981,22.0
275,0.275,Nanoribbon,1e-14,0.059206832,9.578787303266633e-14,0.067951633,9.615200389317177e-14,0.11620422300000001,9.418455252299896,22.0
276,0.276,Nanoribbon,1e-14,0.059520314000000005,9.529474181845598e-14,0.068109505,9.582984666758177e-14,0.127457828,9.38556373371318,22.0
277,0.27699999999999997,Nanoribbon,1e-14,0.059208212,9.618823866194487e-14,0.06789666,9.6048165180073e-14,0.137775214,10.047805845106256,22.0
